PRODUCT_ID,PRODUCT_NAME,CATEGORY_ID,UNIT_PRICE
PROD001,27in Monitor,CAT001,18999
PROD002,Bookshelf,CAT002,6499
PROD003,Wireless Mouse,CAT001,799
PROD004,Office Chair,CAT002,12499
PROD005,Desk Lamp,CAT003,1299
PROD006,Gel Pen Pack,CAT004,249
PROD007,Electric Kettle,CAT003,1999
PROD008,Standing Desk,CAT002,28999
PROD009,Noise Cancel Headset,CAT001,8999
PROD010,A4 Notebook,CAT004,199
PROD011,Mechanical Keyboard,CAT001,4999
PROD012,Data Modeling Guide,CAT005,1199
PROD013,SQL Cookbook,CAT005,899
PROD014,USB-C Hub,CAT001,2499
PROD015,Sticky Notes,CAT004,149
PROD016,Coffee Maker,CAT003,5499
