ORDER_ID,PRODUCT_ID,QUANTITY,UNIT_PRICE
ORD1001,PROD001,5,18999
ORD1001,PROD002,1,6499
ORD1002,PROD003,2,799
ORD1002,PROD004,5,12499
ORD1003,PROD005,3,1299
ORD1003,PROD006,2,249
ORD1004,PROD007,1,1999
ORD1004,PROD008,4,28999
ORD1004,PROD009,5,8999
ORD1005,PROD010,1,199
ORD1005,PROD007,2,1999
ORD1005,PROD011,3,4999
ORD1006,PROD006,2,249
ORD1006,PROD012,3,1199
ORD1006,PROD013,1,899
ORD1007,PROD004,5,12499
ORD1007,PROD013,2,899
ORD1007,PROD002,3,6499
ORD1007,PROD007,1,1999
ORD1008,PROD002,4,6499
ORD1008,PROD001,4,18999
ORD1009,PROD005,4,1299
ORD1009,PROD013,3,899
ORD1009,PROD008,2,28999
ORD1010,PROD009,2,8999
ORD1011,PROD004,1,12499
ORD1011,PROD012,5,1199
ORD1011,PROD005,3,1299
ORD1011,PROD003,3,799
ORD1012,PROD006,3,249
ORD1012,PROD004,5,12499
ORD1012,PROD011,5,4999
ORD1013,PROD002,4,6499
ORD1014,PROD014,4,2499
ORD1014,PROD011,1,4999
ORD1015,PROD005,2,1299
ORD1015,PROD001,3,18999
ORD1015,PROD004,4,12499
ORD1016,PROD015,2,149
ORD1017,PROD014,1,2499
ORD1018,PROD004,4,12499
ORD1018,PROD002,2,6499
ORD1019,PROD005,4,1299
ORD1019,PROD001,3,18999
ORD1019,PROD011,4,4999
ORD1019,PROD012,4,1199
ORD1020,PROD001,2,18999
ORD1020,PROD012,5,1199
ORD1020,PROD013,4,899
ORD1021,PROD013,5,899
ORD1022,PROD006,4,249
ORD1022,PROD010,4,199
ORD1023,PROD004,4,12499
ORD1023,PROD013,3,899
ORD1023,PROD016,4,5499
ORD1023,PROD005,5,1299
ORD1024,PROD011,5,4999
ORD1024,PROD008,1,28999
ORD1025,PROD011,1,4999
ORD1025,PROD004,2,12499
ORD1026,PROD011,1,4999
ORD1026,PROD008,4,28999
ORD1027,PROD015,2,149
ORD1027,PROD009,3,8999
ORD1027,PROD010,4,199
ORD1028,PROD014,5,2499
ORD1029,PROD007,2,1999
ORD1029,PROD009,4,8999
ORD1030,PROD001,3,18999
ORD1030,PROD013,1,899
ORD1030,PROD014,1,2499
ORD1031,PROD002,3,6499
ORD1031,PROD001,5,18999
ORD1032,PROD011,2,4999
ORD1032,PROD003,3,799
ORD1032,PROD006,2,249
ORD1033,PROD014,2,2499
ORD1034,PROD008,3,28999
ORD1035,PROD005,2,1299
ORD1035,PROD008,2,28999
ORD1035,PROD007,2,1999
ORD1036,PROD015,1,149
ORD1036,PROD009,4,8999
ORD1036,PROD014,1,2499
ORD1036,PROD016,4,5499
ORD1037,PROD015,2,149
ORD1037,PROD003,4,799
ORD1038,PROD002,2,6499
ORD1038,PROD003,5,799
ORD1038,PROD011,3,4999
ORD1038,PROD009,1,8999
ORD1039,PROD005,1,1299
ORD1039,PROD008,4,28999
ORD1039,PROD004,5,12499
ORD1040,PROD007,1,1999
ORD1040,PROD010,3,199
ORD1041,PROD002,5,6499
ORD1041,PROD010,2,199
ORD1041,PROD007,2,1999
ORD1041,PROD009,4,8999
ORD1042,PROD008,3,28999
ORD1043,PROD010,2,199
ORD1043,PROD004,1,12499
ORD1043,PROD015,3,149
ORD1043,PROD016,5,5499
ORD1044,PROD008,2,28999
ORD1044,PROD001,2,18999
ORD1045,PROD013,4,899
