ORDER_ID,ORDER_DATE,CUSTOMER_ID,SALES_REP_ID,PAYMENT_METHOD,SHIPPING_COST
ORD1001,2026-04-08,CUST001,REP001,Credit Card,99
ORD1002,2026-04-07,CUST002,REP002,Credit Card,0
ORD1003,2026-04-25,CUST003,REP003,Debit Card,99
ORD1004,2026-05-04,CUST004,REP004,Credit Card,0
ORD1005,2026-06-20,CUST005,REP002,Credit Card,99
ORD1006,2026-05-15,CUST005,REP003,Credit Card,149
ORD1007,2026-04-15,CUST002,REP005,UPI,49
ORD1008,2026-05-03,CUST004,REP001,Net Banking,149
ORD1009,2026-04-08,CUST001,REP002,UPI,99
ORD1010,2026-04-28,CUST006,REP006,Debit Card,0
ORD1011,2026-05-13,CUST001,REP002,Wallet,0
ORD1012,2026-05-01,CUST005,REP004,Debit Card,49
ORD1013,2026-06-25,CUST004,REP003,Net Banking,49
ORD1014,2026-04-02,CUST007,REP001,Net Banking,99
ORD1015,2026-06-06,CUST008,REP003,UPI,149
ORD1016,2026-06-15,CUST001,REP005,Net Banking,149
ORD1017,2026-06-08,CUST005,REP004,Credit Card,49
ORD1018,2026-04-17,CUST004,REP001,Credit Card,99
ORD1019,2026-04-26,CUST008,REP003,Wallet,149
ORD1020,2026-04-13,CUST009,REP005,Credit Card,0
ORD1021,2026-05-08,CUST006,REP002,UPI,99
ORD1022,2026-04-25,CUST005,REP001,Wallet,0
ORD1023,2026-05-01,CUST004,REP002,Credit Card,49
ORD1024,2026-04-10,CUST001,REP005,Debit Card,49
ORD1025,2026-06-16,CUST010,REP004,Credit Card,0
ORD1026,2026-05-04,CUST005,REP006,Credit Card,49
ORD1027,2026-05-07,CUST001,REP006,Wallet,99
ORD1028,2026-06-19,CUST011,REP001,Credit Card,149
ORD1029,2026-05-03,CUST004,REP006,Net Banking,49
ORD1030,2026-06-27,CUST008,REP005,Net Banking,0
ORD1031,2026-05-20,CUST010,REP006,UPI,99
ORD1032,2026-06-14,CUST009,REP004,Credit Card,0
ORD1033,2026-06-01,CUST010,REP002,Wallet,149
ORD1034,2026-05-05,CUST008,REP001,Net Banking,49
ORD1035,2026-06-04,CUST007,REP004,UPI,49
ORD1036,2026-06-11,CUST006,REP002,Credit Card,49
ORD1037,2026-05-27,CUST004,REP003,Debit Card,99
ORD1038,2026-05-21,CUST011,REP004,Credit Card,99
ORD1039,2026-06-26,CUST005,REP006,Debit Card,99
ORD1040,2026-04-17,CUST004,REP004,Credit Card,149
ORD1041,2026-06-10,CUST002,REP004,Credit Card,99
ORD1042,2026-05-18,CUST001,REP002,UPI,99
ORD1043,2026-05-15,CUST004,REP002,Wallet,99
ORD1044,2026-04-27,CUST001,REP005,Wallet,99
ORD1045,2026-06-28,CUST007,REP001,UPI,149
